id,name,slug,description,logo_url,website,is_active,created_at,updated_at
"b1c8f3a9-5e9c-4a8e-fabf-8a6b5c4d3e2f","TerraThreads Apparel","terrathreads-apparel","We create high-quality corporate apparel from GOTS-certified organic cotton and recycled materials, ensuring ethical production from seed to stitch.","https://example.com/logos/terrathreads.png","https://terrathreads.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"c2d9a4b0-6f0d-4b7f-eaca-7b5a4b3c2d1e","EcoPack Solutions","ecopack-solutions","Our mission is to eliminate single-use plastic in shipping. We provide certified compostable mailers and recycled packaging for conscious businesses.","https://example.com/logos/ecopack.png","https://ecopacksolutions.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"d3e0b5c1-7a1e-4c6a-dbdb-6a4b3a2b1c0d","GreenLeaf Office","greenleaf-office","Supplying offices with everything they need to be green, from 100% recycled paper products to biodegradable pens and non-toxic cleaners.","https://example.com/logos/greenleaf.png","https://greenleaf-office.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"e4f1c6d2-8b2f-4d5b-caec-5a3a2a1a0b9c","ReForm Furniture","reform-furniture","We give materials a second life by crafting beautiful, durable office furniture from reclaimed wood and recycled industrial metals.","https://example.com/logos/reform.png","https://reformfurniture.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"f5a2d7e3-9c3a-4e4c-bbfd-4b2a1a0a9a8b","PureHarvest Pantry","pureharvest-pantry","Providing businesses with bulk, organic, and fair-trade food and beverage options that are good for people and the planet.","https://example.com/logos/pureharvest.png","https://pureharvestpantry.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"a6b3e8f4-0d4b-4f3d-aace-3a1a0a9a8a7a","Conscious Corporate","conscious-corporate","Curators of sustainable and ethically-sourced corporate gifts that leave a lasting positive impression on clients and employees.","https://example.com/logos/consciouscorp.png","https://consciouscorporate.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"b7c4f9a5-1e5c-4a2e-99bf-2b0a9a8a7a69","Evergreen Essentials","evergreen-essentials","Your source for plant-based, cruelty-free, and bulk refillable janitorial and personal care products for commercial spaces.","https://example.com/logos/evergreen.png","https://evergreenessentials.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"c8d5a0b6-2f6d-4b1f-88aa-1a9a8a7a6a58","Circular Tech","circular-tech","We reduce e-waste by professionally refurbishing enterprise-grade electronics and offering them a second life with a full warranty.","https://example.com/logos/circular.png","https://circulartech.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"d9e6b1c7-3a7e-4c0a-779b-0a8a7a6a5a47","Symbiotic Goods","symbiotic-goods","We partner with artisan cooperatives globally to bring fair-trade, handcrafted decor and gift items to the B2B market.","https://example.com/logos/symbiotic.png","https://symbioticgoods.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"e0f7c2d8-4b8f-4d9b-668c-9a7a6a5a4a36","Sprout Write","sprout-write","Makers of innovative plantable pens and pencils. Once you're done writing, you can plant the stub and grow herbs or flowers.","https://example.com/logos/sproutwrite.png","https://sproutwrite.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"f1a8d3e9-5c9a-4e8c-557d-8a6a5a4a3a25","AquaPure Cleaning","aquapure-cleaning","Revolutionary non-toxic, electrolyzed water cleaning solutions that are powerful for businesses and safe for the environment.","https://example.com/logos/aquapure.png","https://aquapurecleaning.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"a2b9e4f0-6d0b-4f7d-446e-7a5a4a3a2a14","The Good Roll","the-good-roll","We make 100% tree-friendly toilet paper and paper towels from bamboo, helping to build toilets in developing countries.","https://example.com/logos/goodroll.png","https://thegoodroll.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"b3c0f5a1-7e1c-4a6e-335f-6a4a3a2a1a03","Repurpose Plastics","repurpose-plastics","We transform post-consumer plastic waste into durable and stylish office accessories, from desk organizers to planters.","https://example.com/logos/repurpose.png","https://repurposeplastics.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"c4d1a6b2-8f2d-4b5f-224a-5a3a2a1a0a92","Solar-Charge Inc.","solar-charge-inc","Designing and manufacturing high-efficiency solar-powered chargers and power banks for the mobile workforce.","https://example.com/logos/solarcharge.png","https://solar-charge.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"d5e2b7c3-9a3e-4c4a-113b-4b2a1a0a9a81","HempTex","hemptex","Pioneers in hemp fiber textiles, offering durable and sustainable fabric alternatives for uniforms, upholstery, and more.","https://example.com/logos/hemptex.png","https://hemptex.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"e6f3c8d4-0b4f-4d3b-002c-3a1a0a9a8a70","Grounded Coffee Co.","grounded-coffee-co","We provide specialty-grade, fair-trade, and organic coffee beans in compostable packaging, roasted fresh for your office.","https://example.com/logos/grounded.png","https://groundedcoffee.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"f7a4d9e5-1c5a-4e2c-ff1d-2b0a9a8a7a6f","Klean Kanteen Corporate","klean-kanteen-corporate","The official B2B partner for Klean Kanteen, providing co-branded, durable stainless steel bottles and cups to reduce single-use waste.","https://example.com/logos/kleankanteen.png","https://kleankanteen-corporate.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"a8b5e0f6-2d6b-4f1d-ee0e-1a9a8a7a6a5e","Patagonia Works","patagonia-works","Providing iconic, durable, and responsibly-made corporate apparel and gear that aligns with your company's values.","https://example.com/logos/patagoniaworks.png","https://patagonia-works.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"b9c6f1a7-3e7c-4a0e-ddfd-0a8a7a6a5a4d","Algae Ink","algae-ink","We create carbon-negative printing ink from algae, offering a revolutionary, non-toxic alternative for packaging and paper products.","https://example.com/logos/algaeink.png","https://algaeink.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"cad7a2b8-4f8d-4b9f-ccec-9a7a6a5a4a3c","Ethique Business","ethique-business","Supplying businesses with solid, plastic-free bar-form personal care products for hotels, gyms, and corporate wellness programs.","https://example.com/logos/ethique.png","https://ethiquebusiness.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"dbe8b3c9-5a9e-4c8a-bbdb-8a6a5a4a3a2b","FSC Print Co.","fsc-print-co","Your trusted partner for all business printing needs on FSC-certified and 100% recycled paper stock.","https://example.com/logos/fscprint.png","https://fscprint.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"